OccupationID,OccupationName
1,Farmer / Agriculture
2,Farm Labourer
3,Manual Labourer
4,Construction Worker
5,Factory Worker
6,Petty Trader / Vendor
7,Shop Owner / Merchant
8,Auto / Taxi Driver
9,Private Employee
10,Business Owner
11,Software / IT Professional
12,Government Employee
13,Police Personnel
14,Doctor / Medical Professional
15,Retired
16,Student
17,Homemaker / Housewife
18,Unemployed
19,Journalist
20,Lawyer / Advocate
21,Teacher / Educator
22,Politician / Public Figure
23,Religious Leader / Priest
24,Real Estate Agent
25,Security Guard
